LR Clip Loss
0.005 0.05 0.606206703848806
0.0005 0.08 0.6743420524994524
0.002 0.5 0.4863909216044435
0.0005 0.008 0.6895898543993627
8.0 0.4 0.34405977181301317
0.001 10.0 0.36677546500019487
80.0 0.0004 0.5526319632104864
2.0 0.0004 0.5079371202885489
0.8 0.02 0.420804704851746
4.0 0.1 0.10518898097902558
0.4 0.001 0.5716604455321244
0.01 0.04 0.5717008209507736
0.0004 8.0 0.44020304698842266
80.0 0.0008 0.36017864144915995
4.0 50.0 88.43981732879412
0.4 80.0 18.43301561212859
8.0 8.0 11.026155735813928
20.0 0.2 0.43465202561952565
0.2 0.5 0.17913308800377606
80.0 0.005 0.17528095245447492
80.0 2.0 25.66138572701392
40.0 80.0 1843.4546465657525
8.0 0.02 0.245120993321066
80.0 0.001 0.3062679503941075
0.1 0.0008 0.6588603671987547
0.5 4.0 0.2768888504650154
0.0001 0.0002 0.691359129707018
0.008 50.0 0.3237700848457988
0.005 5.0 0.2589747737210739
4.0 10.0 7.3267946767708665
0.0001 0.04 0.689589854598045
0.0001 0.004 0.6911893554131182
0.05 0.0001 0.6891480317910507
0.01 0.8 0.34643561531578476
0.005 20.0 0.24956229973678093
0.01 0.05 0.5527067472405803
0.004 2.0 0.3313907169025409
40.0 0.02 0.11584126708749332
0.008 0.0008 0.6885312912066753
0.008 0.008 0.6648810214400286
0.02 0.1 0.41883802195920933
0.001 0.0001 0.6913232920169811
0.001 0.001 0.690921793381371
0.004 0.02 0.6588603693048153
0.0002 2.0 0.5713044471127396
0.0005 0.0001 0.6913456299304958
0.2 0.004 0.5080166773672715
0.1 8.0 0.16794912354728198
0.5 0.0004 0.6198522429947427
8.0 5.0 6.469812433617503
2.0 8.0 2.7324388759339837
5.0 0.001 0.3795327213736213
0.001 0.04 0.6743420524994524
0.04 0.0005 0.6826486558516818
80.0 20.0 410.7128083788525
1.0 0.002 0.4174657923142946
0.8 0.5 0.08172382092415674
0.05 0.0002 0.6869550823370609
2.0 0.02 0.3135959999895485
0.01 5.0 0.20987833928413835
0.0005 80.0 0.41548399165616545
0.002 50.0 0.3223134746934762
5.0 2.0 1.4742463358823772
0.0005 5.0 0.43313111490912665
2.0 0.4 0.08729450632031761
1.0 1.0 0.1051121477424753
0.2 0.02 0.3781763150708777
8.0 0.0004 0.3858941432057172
0.008 0.5 0.3761722010511863
50.0 0.02 0.11716591466748061
0.004 0.1 0.5717212538723623
4.0 0.0001 0.571653375207275
0.0004 0.05 0.6826486542622243
0.0004 0.005 0.6904767218033471
0.04 0.008 0.5890353175008104
5.0 0.08 0.10961129976967106
0.0001 0.2 0.6826486542622243
0.001 4.0 0.39078934961422834
0.04 20.0 0.2719487070613346
0.1 0.4 0.21670991111507398
10.0 10.0 18.35259874600365
0.04 0.0004 0.68435866185029
0.002 0.0008 0.6906546187003427
0.002 0.008 0.6843586611350373
0.4 0.08 0.2900797172906265
0.08 0.1 0.37585480470046934
80.0 0.4 4.88906796740914
0.01 4.0 0.21884272594876122
0.0008 2.0 0.4431327109044705
20.0 4.0 12.846994679134312
0.8 0.004 0.3859786454981003
2.0 5.0 1.5664631660573936
0.05 50.0 1.1418212576527307
50.0 80.0 2304.2982542317527
0.1 0.005 0.5526539584668346
5.0 0.05 0.16329533479666955
0.5 0.8 0.07988460010698263
20.0 0.0002 0.3796175019904204
0.0005 0.1 0.6703350755572316
20.0 8.0 27.60037417053975
80.0 0.8 10.093538888232054
0.0004 0.1 0.674342053552468
0.008 0.004 0.6776168880860007
0.008 0.0004 0.689944077213602
0.4 0.8 0.08302880612421573
0.8 1.0 0.09114008431589238
0.02 0.4 0.35839831260731864
4.0 0.05 0.1952112281128083
10.0 0.2 0.1779463285672279
0.04 50.0 0.928261500658146
0.08 8.0 0.1520341370733053
0.008 0.2 0.4393986392597024
0.01 80.0 0.5592581636496983
0.0008 0.02 0.6843586598634718
0.0008 0.002 0.6906546183029786
0.08 10.0 0.187338024195657
0.05 0.0004 0.68264865386486
0.5 0.08 0.2566236171098275
1.0 0.0002 0.6198522429947427
0.0008 0.0004 0.6912250498930597
0.05 20.0 0.3117385278094506
0.8 0.05 0.27398452797666734
0.8 0.0001 0.6588603696624427
0.005 0.1 0.5527354920062544
5.0 0.0001 0.552611627616492
0.002 0.01 0.682648654500643
0.0005 0.05 0.6805343606471997
0.02 0.08 0.4388265057907425
0.0005 0.005 0.6902545898358023
2.0 20.0 10.262543013986024
0.05 0.008 0.571676070201505
4.0 0.08 0.11913348272672357
4.0 2.0 1.1558290578079262
0.0004 5.0 0.44945625272913986
0.02 0.5 0.3448974228824073
0.0004 80.0 0.431289197069956
8.0 0.004 0.43847016576554126
0.2 0.2 0.22995574733457466
0.01 0.01 0.651636138600607
50.0 1.0 7.8498086876161
0.0002 0.4 0.6588603714108463
0.04 0.0002 0.6878290400902424
0.05 0.0005 0.6805343604882523
0.1 0.04 0.37781247334179374
50.0 5.0 40.76643169844149
0.002 1.0 0.4217733124362691
50.0 0.002 0.26871452714308974
0.01 2.0 0.24993635067435593
4.0 0.001 0.37926384238233996
0.008 80.0 0.48493899136865265
0.0004 0.0001 0.6913500925699867
0.02 8.0 0.16039211794702604
0.4 0.0004 0.6317743747631693
40.0 1.0 6.24175815487468
20.0 10.0 36.733997096801765
0.002 0.2 0.5717415488213121
40.0 0.002 0.284853667873018
0.005 0.02 0.6516361382429793
40.0 5.0 32.6020374236181
0.0002 0.02 0.689589854598045
0.0002 0.002 0.6911893546183897
0.02 10.0 0.16491831375764562
0.1 0.002 0.6198522411668671
0.005 2.0 0.3121992241181233
0.2 1.0 0.0972857427214477
0.002 0.004 0.6878290392160409
0.01 1.0 0.3270864136341796
0.0001 4.0 0.5745072148937097
0.002 0.0004 0.6910109525918954
