LR Clip Loss
0.0008 0.4 1272.2921142578125
0.0008 0.5 1267.633544921875
0.0008 0.8 1267.9298095703125
0.0008 1 1272.8944091796875
0.0008 2 1270.3634033203125
0.0008 4 1265.69140625
0.0008 5 1264.4478759765625
0.0008 8 1266.9759521484375
0.0008 10 1270.026611328125
0.0008 20 1267.25634765625
0.0008 40 1272.87939453125
0.0008 50 1267.3612060546875
0.0008 80 1271.394775390625
0.001 0.0001 886.2369995117188
0.001 0.0002 882.90380859375
0.001 0.0004 879.316162109375
0.001 0.0005 882.8141479492188
0.001 0.0008 881.0841064453125
0.001 0.001 881.980224609375
0.001 0.002 882.1566772460938
0.001 0.004 880.3048095703125
0.001 0.005 882.7064208984375
0.001 0.008 880.8062133789062
0.001 0.01 882.46923828125
0.001 0.02 879.67041015625
0.001 0.04 881.870849609375
0.001 0.05 882.689208984375
0.001 0.08 877.9323120117188
0.001 0.1 881.7857055664062
0.001 0.2 883.5678100585938
0.001 0.4 883.8772583007812
0.001 0.5 881.2401123046875
0.001 0.8 884.7472534179688
0.001 1 878.6779174804688
0.001 2 883.6127319335938
0.001 4 879.6087036132812
0.001 5 883.9700927734375
0.001 8 880.8755493164062
0.001 10 881.79931640625
0.001 20 882.6649169921875
0.001 40 884.0360107421875
0.001 50 881.665771484375
0.001 80 883.7738037109375
0.002 0.0001 124.51362609863281
0.002 0.0002 124.52526092529297
0.002 0.0004 124.46641540527344
0.002 0.0005 124.3451919555664
0.002 0.0008 124.4764633178711
0.002 0.001 124.5748291015625
0.002 0.002 124.53800201416016
0.002 0.004 124.49195861816406
0.002 0.005 124.60131072998047
0.002 0.008 124.45191192626953
0.002 0.01 124.43217468261719
0.002 0.02 124.62525177001953
0.002 0.04 124.49896240234375
0.002 0.05 124.53512573242188
0.002 0.08 124.58464050292969
0.002 0.1 124.60964965820312
0.002 0.2 124.53388214111328
0.002 0.4 124.515380859375
0.002 0.5 124.45425415039062
0.002 0.8 124.4709243774414
0.002 1 124.46492004394531
0.002 2 124.59042358398438
0.002 4 125.31903839111328
0.002 5 125.80921936035156
0.002 8 126.67154693603516
0.002 10 127.07388305664062
0.002 20 128.2069091796875
0.002 40 131.94183349609375
0.002 50 134.68531799316406
0.002 80 148.55877685546875
0.004 0.0001 87.07491302490234
0.004 0.0002 87.02851104736328
0.004 0.0004 87.01288604736328
0.004 0.0005 87.04400634765625
0.004 0.0008 87.03254699707031
0.004 0.001 86.97283172607422
0.004 0.002 87.04039764404297
0.004 0.004 87.03913879394531
0.004 0.005 87.11058044433594
0.004 0.008 86.96144104003906
0.004 0.01 87.07623291015625
0.004 0.02 86.99235534667969
0.004 0.04 87.01507568359375
0.004 0.05 86.98896026611328
0.004 0.08 87.03935241699219
0.004 0.1 87.08881378173828
0.004 0.2 87.11835479736328
0.004 0.4 86.96974182128906
0.004 0.5 87.01156616210938
0.004 0.8 87.0087661743164
0.004 1 87.02019500732422
0.004 2 88.26107025146484
0.004 4 93.94945526123047
0.004 5 96.29881286621094
0.004 8 102.72679901123047
0.004 10 105.46778106689453
0.004 20 114.61185455322266
0.004 40 120.2279281616211
0.004 50 122.46455383300781
0.004 80 124.077392578125
0.005 0.0001 78.84538269042969
0.005 0.0002 78.8550796508789
0.005 0.0004 78.8598861694336
0.005 0.0005 78.8387451171875
0.005 0.0008 78.81407928466797
0.005 0.001 78.83824920654297
0.005 0.002 78.85961151123047
0.005 0.004 78.8492660522461
0.005 0.005 78.82117462158203
0.005 0.008 78.85784912109375
0.005 0.01 78.85908508300781
0.005 0.02 78.87722778320312
0.005 0.04 78.82151794433594
0.005 0.05 78.83323669433594
0.005 0.08 78.82714080810547
0.005 0.1 78.82185363769531
0.005 0.2 78.8171157836914
0.005 0.4 78.83409881591797
0.005 0.5 78.86268615722656
