LR Clip Loss
0.0005 0.0008 3713.797119140625
0.0005 0.001 3713.667236328125
0.0005 0.002 3713.02685546875
0.0005 0.004 3711.7421875
0.0005 0.005 3711.11083984375
0.0005 0.008 3709.183349609375
0.0005 0.01 3707.909423828125
0.0005 0.02 3701.4853515625
0.0005 0.04 3688.7470703125
0.0005 0.05 3682.460205078125
0.0005 0.08 3663.19921875
0.0005 0.1 3650.563232421875
0.0005 0.2 3587.448974609375
0.0005 0.4 3462.933837890625
0.0005 0.5 3401.136962890625
0.0005 0.8 3219.899658203125
0.0005 1 3101.45458984375
0.0005 2 2545.193359375
0.0005 4 1604.3878173828125
0.0005 5 1224.61572265625
0.0005 8 417.4283142089844
0.0005 10 164.96829223632812
0.0005 20 115.02704620361328
0.0005 40 112.59843444824219
0.0005 50 111.92068481445312
0.0005 80 111.33760070800781
0.0008 0.0001 3714.206787109375
0.0008 0.0002 3714.104248046875
0.0008 0.0004 3713.8994140625
0.0008 0.0005 3713.7958984375
0.0008 0.0008 3713.489013671875
0.0008 0.001 3713.28466796875
0.0008 0.002 3712.258544921875
0.0008 0.004 3710.21337890625
0.0008 0.005 3709.18896484375
0.0008 0.008 3706.071044921875
0.0008 0.01 3704.06396484375
0.0008 0.02 3693.867919921875
0.0008 0.04 3673.334228515625
0.0008 0.05 3663.185302734375
0.0008 0.08 3632.727294921875
0.0008 0.1 3612.3515625
0.0008 0.2 3512.6083984375
0.0008 0.4 3316.665771484375
0.0008 0.5 3221.71142578125
0.0008 0.8 2940.55322265625
0.0008 1 2764.60693359375
0.0008 2 1956.0245361328125
0.0008 4 786.7963256835938
0.0008 5 422.6143493652344
0.0008 8 117.62248229980469
0.0008 10 114.41146087646484
0.0008 20 109.20491027832031
0.0008 40 107.35472106933594
0.0008 50 107.02778625488281
0.0008 80 106.53189849853516
0.001 0.0001 3714.18115234375
0.001 0.0002 3714.052490234375
0.001 0.0004 3713.797119140625
0.001 0.0005 3713.669189453125
0.001 0.0008 3713.2822265625
0.001 0.001 3713.025634765625
0.001 0.002 3711.7470703125
0.001 0.004 3709.185302734375
0.001 0.005 3707.895263671875
0.001 0.008 3704.051513671875
0.001 0.01 3701.503662109375
0.001 0.02 3688.67138671875
0.001 0.04 3663.23828125
0.001 0.05 3650.716552734375
0.001 0.08 3612.55517578125
0.001 0.1 3587.405029296875
0.001 0.2 3462.642578125
0.001 0.4 3219.61328125
0.001 0.5 3102.5283203125
0.001 0.8 2762.116943359375
0.001 1 2549.25341796875
0.001 2 1608.7216796875
0.001 4 418.4347229003906
0.001 5 166.2326202392578
0.001 8 112.71349334716797
0.001 10 110.28373718261719
0.001 20 105.21759796142578
0.001 40 103.82992553710938
0.001 50 103.42845153808594
0.001 80 102.3432388305664
0.002 0.0001 3714.05224609375
0.002 0.0002 3713.796142578125
0.002 0.0004 3713.285400390625
0.002 0.0005 3713.033203125
0.002 0.0008 3712.259033203125
0.002 0.001 3711.753173828125
0.002 0.002 3709.196533203125
0.002 0.004 3704.0537109375
0.002 0.005 3701.52587890625
0.002 0.008 3693.8828125
0.002 0.01 3688.7490234375
0.002 0.02 3663.096435546875
0.002 0.04 3612.311279296875
0.002 0.05 3586.943115234375
0.002 0.08 3512.4326171875
0.002 0.1 3462.41748046875
0.002 0.2 3220.318603515625
0.002 0.4 2763.25048828125
0.002 0.5 2544.80322265625
0.002 0.8 1953.31103515625
0.002 1 1608.833740234375
0.002 2 414.6739196777344
0.002 4 107.1478042602539
0.002 5 102.97374725341797
0.002 8 97.93009948730469
0.002 10 96.88851928710938
0.002 20 94.54232025146484
0.002 40 93.8131332397461
0.002 50 94.2489013671875
0.002 80 92.82096099853516
0.004 0.0001 3713.797119140625
0.004 0.0002 3713.28466796875
0.004 0.0004 3712.254150390625
0.004 0.0005 3711.74755859375
0.004 0.0008 3710.2138671875
0.004 0.001 3709.18505859375
0.004 0.002 3704.0849609375
0.004 0.004 3693.785400390625
0.004 0.005 3688.672607421875
0.004 0.008 3673.344482421875
0.004 0.01 3663.236328125
0.004 0.02 3612.42236328125
0.004 0.04 3512.61767578125
0.004 0.05 3462.586669921875
0.004 0.08 3315.7900390625
0.004 0.1 3220.718505859375
0.004 0.2 2764.358154296875
0.004 0.4 1958.9906005859375
0.004 0.5 1611.2177734375
0.004 0.8 786.31494140625
0.004 1 415.92034912109375
0.004 2 99.48738861083984
0.004 4 89.86119842529297
0.004 5 89.0843505859375
0.004 8 87.97232055664062
0.004 10 87.60161590576172
0.004 20 87.23741912841797
0.004 40 87.05651092529297
0.004 50 88.28268432617188
0.004 80 87.36534118652344
0.005 0.0001 3713.669677734375
0.005 0.0002 3713.029052734375
0.005 0.0004 3711.75048828125
0.005 0.0005 3711.104736328125
0.005 0.0008 3709.185546875
0.005 0.001 3707.901611328125
0.005 0.002 3701.486328125
0.005 0.004 3688.689697265625
0.005 0.005 3682.286376953125
0.005 0.008 3663.35400390625
0.005 0.01 3650.6328125
0.005 0.02 3587.127197265625
0.005 0.04 3462.167724609375
0.005 0.05 3400.9990234375
0.005 0.08 3220.72900390625
0.005 0.1 3103.278076171875
0.005 0.2 2547.466796875
0.005 0.4 1608.5091552734375
0.005 0.5 1225.5255126953125
0.005 0.8 417.2374572753906
0.005 1 164.40213012695312
0.005 2 91.66445922851562
0.005 4 87.17008972167969
0.005 5 86.72506713867188
0.005 8 86.32780456542969
0.005 10 86.1183090209961
0.005 20 86.09307098388672
0.005 40 85.82545471191406
0.005 50 86.40512084960938
0.005 80 87.0588607788086
0.008 0.0001 3713.283447265625
0.008 0.0002 3712.260498046875
0.008 0.0004 3710.2080078125
0.008 0.0005 3709.1923828125
0.008 0.0008 3706.11083984375
0.008 0.001 3704.04833984375
0.008 0.002 3693.83056640625
0.008 0.004 3673.46435546875
0.008 0.005 3663.11083984375
0.008 0.008 3632.790771484375
0.008 0.01 3612.539794921875
0.008 0.02 3512.833251953125
0.008 0.04 3317.18896484375
0.008 0.05 3219.32958984375
0.008 0.08 2939.606201171875
0.008 0.1 2763.98388671875
0.008 0.2 1953.4910888671875
0.008 0.4 784.9857177734375
0.008 0.5 413.92388916015625
0.008 0.8 111.16199493408203
0.008 1 97.60079956054688
0.008 2 85.51203155517578
0.008 4 85.01636505126953
0.008 5 84.92318725585938
0.008 8 84.91569519042969
0.008 10 84.95565795898438
0.008 20 85.02808380126953
0.008 40 84.81277465820312
0.008 50 85.9493408203125
0.008 80 85.62689971923828
0.01 0.0001 3713.032958984375
0.01 0.0002 3711.752685546875
0.01 0.0004 3709.184326171875
0.01 0.0005 3707.906005859375
0.01 0.0008 3704.07177734375
0.01 0.001 3701.4921875
0.01 0.002 3688.71044921875
0.01 0.004 3663.148681640625
0.01 0.005 3650.606689453125
0.01 0.008 3612.3759765625
0.01 0.01 3587.699462890625
0.01 0.02 3462.57080078125
0.01 0.04 3219.5615234375
0.01 0.05 3102.646728515625
0.01 0.08 2760.346435546875
0.01 0.1 2548.23828125
0.01 0.2 1608.69970703125
0.01 0.4 418.73028564453125
0.01 0.5 164.1197052001953
0.01 0.8 97.69066619873047
0.01 1 88.13105773925781
0.01 2 84.91307830810547
0.01 4 84.76146697998047
0.01 5 84.77774047851562
0.01 8 84.74858093261719
0.01 10 84.7856216430664
0.01 20 84.79354095458984
0.01 40 85.34729766845703
0.01 50 85.55760955810547
0.01 80 87.20076751708984
0.02 0.0001 3711.746337890625
0.02 0.0002 3709.171875
0.02 0.0004 3704.066162109375
0.02 0.0005 3701.491455078125
0.02 0.0008 3693.81884765625
0.02 0.001 3688.738037109375
0.02 0.002 3663.37841796875
0.02 0.004 3612.639892578125
0.02 0.005 3587.239501953125
0.02 0.008 3512.334228515625
0.02 0.01 3462.617919921875
0.02 0.02 3220.381103515625
0.02 0.04 2763.80908203125
0.02 0.05 2543.48828125
0.02 0.08 1957.1199951171875
0.02 0.1 1607.44677734375
0.02 0.2 419.7259521484375
0.02 0.4 97.60635375976562
0.02 0.5 87.64453125
0.02 0.8 84.72234344482422
0.02 1 84.71257019042969
0.02 2 84.71260833740234
0.02 4 84.71161651611328
0.02 5 84.73992156982422
0.02 8 84.7719497680664
0.02 10 84.76502990722656
0.02 20 84.86858367919922
0.02 40 85.32386779785156
0.02 50 86.95718383789062
0.02 80 89.1766128540039
0.04 0.0001 3709.180419921875
0.04 0.0002 3704.04150390625
0.04 0.0004 3693.8095703125
0.04 0.0005 3688.759765625
0.04 0.0008 3673.434814453125
0.04 0.001 3663.145263671875
0.04 0.002 3612.529052734375
0.04 0.004 3512.463134765625
0.04 0.005 3461.83740234375
0.04 0.008 3317.06787109375
0.04 0.01 3221.709716796875
0.04 0.02 2761.7412109375
0.04 0.04 1958.2886962890625
0.04 0.05 1612.18896484375
0.04 0.08 783.8585815429688
0.04 0.1 416.4798583984375
0.04 0.2 97.8550796508789
0.04 0.4 84.70882415771484
0.04 0.5 84.7088851928711
0.04 0.8 84.70936584472656
0.04 1 84.70927429199219
0.04 2 84.71540832519531
0.04 4 84.76025390625
0.04 5 84.7279281616211
0.04 8 84.85997772216797
0.04 10 84.88436126708984
0.04 20 86.64656066894531
0.04 40 86.343505859375
0.04 50 89.60517120361328
0.04 80 97.92097473144531
0.05 0.0001 3707.913818359375
0.05 0.0002 3701.50146484375
0.05 0.0004 3688.683837890625
0.05 0.0005 3682.39599609375
0.05 0.0008 3663.297607421875
0.05 0.001 3650.56201171875
0.05 0.002 3587.724853515625
0.05 0.004 3463.03857421875
0.05 0.005 3401.209228515625
0.05 0.008 3219.6025390625
0.05 0.01 3102.851318359375
0.05 0.02 2547.34765625
0.05 0.04 1604.293701171875
0.05 0.05 1224.798583984375
0.05 0.08 416.7852783203125
0.05 0.1 162.27456665039062
0.05 0.2 87.6403579711914
0.05 0.4 84.70878601074219
0.05 0.5 84.7091293334961
0.05 0.8 84.70994567871094
0.05 1 84.71098327636719
0.05 2 84.7135009765625
0.05 4 84.73124694824219
0.05 5 84.77129364013672
0.05 8 84.80072021484375
0.05 10 84.96817016601562
0.05 20 87.7703628540039
0.05 40 86.03207397460938
0.05 50 89.4062728881836
0.05 80 105.3006820678711
0.08 0.0001 3704.099609375
0.08 0.0002 3693.862060546875
0.08 0.0004 3673.396240234375
0.08 0.0005 3663.23583984375
0.08 0.0008 3632.728759765625
0.08 0.001 3612.451171875
0.08 0.002 3511.736083984375
0.08 0.004 3317.027587890625
0.08 0.005 3220.113037109375
0.08 0.008 2939.969482421875
0.08 0.01 2764.98193359375
0.08 0.02 1957.09619140625
0.08 0.04 784.226806640625
0.08 0.05 415.67333984375
0.08 0.08 111.23643493652344
0.08 0.1 97.73359680175781
0.08 0.2 84.70851135253906
0.08 0.4 84.70877075195312
0.08 0.5 84.70928192138672
0.08 0.8 84.7110366821289
0.08 1 84.71443176269531
0.08 2 84.73309326171875
0.08 4 84.78606414794922
0.08 5 84.7877197265625
0.08 8 84.93321228027344
0.08 10 85.02754974365234
0.08 20 85.56214904785156
0.08 40 89.59688568115234
0.08 50 92.40217590332031
